"H1","White",255,255,255
"H2","Cream",246,240,192
"H3","Yellow",242,203,14
"H4","Orange",205,74,28
"H5","Red",162,37,35
"H6","Pink",214,140,155
"H7","Purple",88,65,137
"H8","Blue",33,82,148
"H9","Light Blue",11,113,185
"H10","Green",46,120,59
"H11","Light Green",117,180,137
"H12","Brown",67,49,37
"H17","Grey",128,128,128
"H18","Black",0,0,0
"H20","Reddish Brown",121,53,32
"H21","Light Brown",176,113,59
"H22","Dark Red",152,30,45
"H26","Flesh",225,190,171
"H27","Beige",217,184,130
"H28","Dark Green",56,69,49
"H29","Claret",171,24,69
"H30","Burgundy",87,56,62
"H31","Turqoise",132,174,196
"H32","Neon Fuchsia",184,28,99
"H34","Neon yellow",226,216,69
"H35","Neon red",184,36,26
"H36","Neon blue",34,133,200
"H37","Neon green",132,179,77
"H38","Neon orange",217,130,25
"H43","Pastel Yellow",241,234,101
"H44","Pastel Red",211,97,87
"H45","Pastel Purple",154,141,184
"H46","Pastel Blue",120,183,234
"H47","Pastel Green",160,196,109
"H48","Pastel Pink",206,138,179
"H49","Azure",113,186,205
"H60","Teddybear brown",222,164,39
"H61","Gold",216,192,144
"H62","Silver",200,204,205
"H63","Bronze",192,183,128
"H64","Pearl",216,207,200
"H70","Light Grey",174,174,174
"H71","Dark Grey",79,79,79
"H75","Tan",186,126,77
"H76","Nougat",141,83,36
"H77","Cloudy White",196,190,175
"H78","Light flesh",229,166,132
"H79","Apricot",242,100,1
"H82","Plum",145,2,74
"H83","Petrol Blue",0,107,137
"H84","Olive Green",99,104,15
