S01,White,233,231,230,#E9E7E6
S02,Burning Sand,254,144,143,#FE908F
S03,Tangerine,254,164,2,#FEA42
S04,Orange,253,97,73,#FD6149
S05,Tall Poppy,221,52,68,#DD3444
S06,Raspberry pink,235,102,190,#EB66BE
S07,Gray 2,142,143,147,#8E8F93
S08,Emerald,82,204,106,#52CC6A
S09,Dark Green,42,93,98,#2A5D62
S10,Baby Blue,97,168,223,#61A8DF
S11,Dark Blue,40,68,146,#284492
S12,Pastel Lavender,137,98,173,#8962AD
S13,Black,31,31,33,#1F1F21
S14,Sandstorm,239,221,6,#EFDD6
S15,Redwood,124,69,69,#7C4545
S16,Brown,120,88,78,#78584E
S17,light brown,89,71,67,#594743
S18,Sand,206,155,134,#CE9B86
S19,Bubblegum,237,174,172,#EDAEAC
S20,Green,84,145,96,#549160
S21,Pastel Green,132,197,81,#84C551
S22,Purple,85,72,137,#554889
S23,Royal Purple,125,102,173,#7D66AD
S24,True Blue,57,109,188,#396DBC
S25,Hot Pink,254,91,186,#FE5BBA
S26,Magenta,254,66,137,#FE4289
S27,Yellow,240,206,1,#F0CE1
S28,Lily Pink,223,159,205,#DF9FCD
S29,Pastel Yellow,240,226,79,#F0E24F
S30,Shadow Green,161,198,206,#A1C6CE
S31,Sea Mist,171,218,202,#ABDACA
S32,Beeswax,248,197,131,#F8C583
S33,Maverick,192,174,219,#C0AEDB
S35,Mona Lisa,249,188,193,#F9BCC1
S36,Old Pink,200,103,130,#C86782
S37,Blue Green,132,199,198,#84C7C6
S38,burgundy,161,48,83,#A13053
S39,Yellow Orange,255,131,75,#FF834B
S40,Carnation Pink,253,145,214,#FD91D6
S41,Copper,157,91,46,#9D5B2E
S42,Silver,103,107,115,#676B73
S43,Gray 3,102,103,106,#66676A
S44,Sky Blue,164,200,232,#A4C8E8
S45,Medium Turquoise,63,152,158,#3F989E
S46,Bright Green,168,228,42,#A8E42A
S47,Marigold,156,116,60,#9C743C
S48,Corn,246,191,5,#F6BF5
S49,Mulberry Wood,120,49,90,#78315A
S50,Mandys Pink,253,164,126,#FDA47E
S51,Spring Sun,243,217,182,#F3D9B6
S52,Picasso,239,229,109,#EFE56D
S53,Turquoise,101,147,223,#6593DF
S54,Light Blue,26,117,208,#1A75D0
S55,Pistachio,160,213,137,#A0D589
S56,Outrageous Orange,254,127,80,#FE7F50
S57,Buccaneer,152,78,67,#984E43
S58,Paprika,172,44,68,#AC2C44
S60,Lavender,166,117,191,#A675BF
S61,Key Lemon Pie,187,197,40,#BBC528
S62,Green Tea,56,112,97,#387061
S63,Metallic Gold,105,96,70,#696046
S64,Black Rock,54,61,92,#363D5C
S65,Canary,247,248,57,#F7F839
S66,Blaze Orange,253,81,67,#FD5143
S67,Vanilla,226,193,178,#E2C1B2
S68,Tan,175,150,102,#AF9666
S69,Mine Shaft,67,72,78,#43484E
S70,Dark Algae,146,183,1,#92B71
S71,Jade Green,49,131,50,#318332
S72,Light Sea Blue,119,191,209,#77BFD1
S73,Steel blue,91,159,199,#5B9FC7
S74,azure,64,144,192,#4090C0
S75,dark steel blue,56,121,166,#3879A6
S76,sea blue,59,135,171,#3B87AB
S77,Ghost white,211,211,208,#D3D3D0
S78,Ash Gray,189,189,187,#BDBDBB
S79,Gray 1,163,167,169,#A3A7A9
S80,Dark Olive,124,137,52,#7C8934
S81,Deer,184,138,98,#B88A62
S82,Clay,145,106,77,#916A4D
S83,Sienna,174,103,53,#AE6735
S84,Deep Chestnut,165,87,97,#A55761
S85,Red Wine,140,65,74,#8C414A
S86,Goldenrod,233,181,4,#E9B54
S87,Coral Red,250,97,106,#FA616A
S88,Dark Pink,217,59,128,#D93B80
S89,Gray 4,88,92,99,#585C63
S90,Pastel Orange,251,183,73,#FBB749
S91,Brunswick Green,52,64,66,#344042
SG1,Glow Yellow,198,192,180,#C6C0B4
SG2,Glow Pink,223,171,188,#DFABBC
SG3,Glow Blue,111,173,193,#6FADC1
SL1,Glitter Blue,54,135,178,#3687B2
SL2,Glitter Green,17,124,82,#117C52
SL3,Glitter Red,194,41,51,#C22933
SL4,Glitter Yellow,205,189,0,#CDBD0
SN1,Neon Orange,255,116,5,#FF745
SN2,Neon Green,1,198,62,#1C63E
SN3,Neon Yellow,242,243,60,#F2F33C
SN4,Neon Rose,255,71,122,#FF477A
SP1,Pearlescent Green,147,202,135,#93CA87
SP2,Pearlescent Tangerine,254,127,84,#FE7F54
SP3,Pearlescent Orange,240,161,73,#F0A149
SP4,Pearlescent Pink,220,158,169,#DC9EA9
SP5,Pearlescent Red,214,60,83,#D63C53
SP6,Pearlescent Blue,44,78,151,#2C4E97
SP7,Pearlescent Purple,100,66,126,#64427E
SP8,Pearlescent White,224,219,202,#E0DBCA
