R01,White,234,238,243,#EAEEF3,Perlervault
R02,Burning Sand,238,146,124,#EE927C,Perlervault
R03,Tangerine,255,166,48,#FFA630,Perlervault
R04,Orange,235,96,39,#EB6027,Perlervault
R05,Tall Poppy,203,53,49,#CB3531,Perlervault
R06,Raspberry Pink,239,103,178,#EF67B2,Perlervault
R07,Gray,149,150,152,#959698,Perlervault
R08,Emerald,31,196,103,#1FC467,Perlervault
R09,Dark Green,0,104,94,#00685E,Perlervault
R10,Baby Blue,46,171,216,#2EABD8,Perlervault
R11,Dark Blue,0,79,164,#004FA4,Perlervault
R12,Pastel Lavender,145,101,178,#9165B2,Perlervault
R13,Black,41,42,43,#292A2B,Perlervault
R14,Sandstorm,225,200,53,#E1C835,Perlervault
R15,Redwood,154,69,65,#9A4541,Perlervault
R16,Brown,101,70,61,#65463D,Perlervault
R17,Light Brown,137,93,73,#895D49,Perlervault
R18,Sand,220,163,132,#DCA384,Perlervault
R19,Bubble Gun,242,191,184,#F2BFB8,Perlervault
R20,Green,0,144,83,#009053,Perlervault
R21,Pastel Green,139,178,58,#8BB23A,Perlervault
R22,Purple,72,51,126,#48337E,Perlervault
R23,Royal Purple,100,79,164,#644FA4,Perlervault
R24,True Blue,0,120,191,#0078BF,Perlervault
R25,Hot Pink,220,81,154,#DC519A,Perlervault
R26,Magenta,218,67,131,#DA4383,Perlervault
R27,Yellow,234,193,37,#EAC125,Perlervault
R28,Lily Pink,221,161,204,#DDA1CC,Perlervault
R29,Pastel Yellow,225,211,103,#E1D367,Perlervault
R30,Shadow Green,158,201,205,#9EC9CD,Perlervault
R31,Sea Mist,178,215,206,#B2D7CE,Perlervault
R32,Beeswax,238,211,158,#EED39E,Perlervault
R33,Maverick,192,183,215,#C0B7D7,Perlervault
R34,Red,182,25,39,#B61927,Perlervault
R35,Mona Lisa,225,204,210,#E1CCD2,Perlervault
R36,Old Pink,206,109,131,#CE6D83,Perlervault
R37,Blue-Green,96,191,203,#60BFCB,Perlervault
R38,Burgundy,163,19,74,#A3134A,Perlervault
R39,Yellow Orange,230,135,57,#E68739,Perlervault
R40,Carnation Pink,225,130,176,#E182B0,Perlervault
R41,Copper,157,91,46,#9D5B2E,LThanda
R42,Silver,103,107,115,#676B73,LThanda
R43,Dark Gray,112,117,123,#70757B,Perlervault
R44,Sky Blue,167,205,222,#A7CDDE,Perlervault
R45,Medium Turquoise,0,165,161,#00A5A1,Perlervault
R46,Bright Green,142,195,36,#8EC324,Perlervault
R47,Marigold,178,121,56,#B27938,Perlervault
R48,Corn,236,192,61,#ECC03D,Perlervault
R49,Mulberry Wood,146,30,93,#921E5D,Perlervault
R50,Mandys Pink,226,164,136,#E2A488,Perlervault
R51,Spring Sun,223,218,189,#DFDABD,Perlervault
R52,Picasso,234,222,127,#EADE7F,Perlervault
R53,Turquoise,85,164,217,#55A4D9,Perlervault
R54,Light Blue,0,132,206,#0084CE,Perlervault
R55,Black Rock,54,56,77,#36384D,Perlervault
R57,Pistachio,151,207,135,#97CF87,Perlervault
R58,Canary,226,230,93,#E2E65D,Perlervault
R59,Bright Carrot,249,111,64,#F96F40,Perlervault
R60,Blaze Orange,229,83,60,#E5533C,Perlervault
R61,Vanilla,233,193,166,#E9C1A6,Perlervault
R63,Buccaneer,179,85,64,#B35540,Perlervault
R64,Paprika,177,24,54,#B11836,Perlervault
R66,Lavender,138,126,194,#8A7EC2,Perlervault
R68,Key Lomen Pie,205,192,63,#CDC03F,Perlervault
R69,Green Tea,0,118,95,#00765F,Perlervault
R70,Metallic Gold,105,96,70,#696046,LThanda
R71,Tan,204,155,116,#CC9B74,Perlervault
R72,Mine Shaft,56,62,68,#383E44,Perlervault
R73,Jade Green,0,125,43,#007D2B,Perlervault
R74,Light Sea Blue,104,196,210,#68C4D2,Perlervault
R75,Azure,0,158,194,#009EC2,Perlervault
R76,Sea Blue,0,147,169,#0093A9,Perlervault
R77,Ghost While,212,216,211,#D4D8D3,Perlervault
R78,Ash Grey,194,196,194,#C2C4C2,Perlervault
R79,Light Gray,167,172,173,#A7ACAD,Perlervault
R80,Pastel Orange,217,179,94,#D9B35E,Perlervault
R81,Deer,191,145,104,#BF9168,Perlervault
R82,Clay,170,116,78,#AA744E,Perlervault
R83,Sienna,187,104,51,#BB6833,Perlervault
R84,Deep Chestnut,190,93,101,#BE5D65,Perlervault
R85,Red Wine,153,50,58,#99323A,Perlervault
R86,Goldenrod,232,174,0,#E8AE00,Perlervault
R87,Coral Red,236,98,94,#EC625E,Perlervault
R88,Charcoal Gray,86,90,94,#565A5E,Perlervault
R89,Drark Algae,173,173,41,#ADAD29,Perlervault
R90,Dark Olive,143,142,60,#8F8E3C,Perlervault
R91,Steel Blue,90,176,191,#5AB0BF,Perlervault
R92,Dark Steel Blue,0,132,178,#0084B2,Perlervault
R93,Brunswick Green,21,56,56,#153838,Perlervault
