S01,White,234,238,243,#EAEEF3,Perlervault
S02,Burning Sand,238,146,124,#EE927C,Perlervault
S03,Tangerine,255,166,48,#FFA630,Perlervault
S04,Orange,235,96,39,#EB6027,Perlervault
S05,Tall Poppy,203,53,49,#CB3531,Perlervault
S06,Raspberry Pink,239,103,178,#EF67B2,Perlervault
S07,Gray,149,150,152,#959698,Perlervault
S08,Emerald,31,196,103,#1FC467,Perlervault
S09,Dark Green,0,104,94,#00685E,Perlervault
S10,Baby Blue,46,171,216,#2EABD8,Perlervault
S11,Dark Blue,0,79,164,#004FA4,Perlervault
S12,Pastel Lavender,145,101,178,#9165B2,Perlervault
S13,Black,41,42,43,#292A2B,Perlervault
S14,Sandstorm,225,200,53,#E1C835,Perlervault
S15,Redwood,154,69,65,#9A4541,Perlervault
S16,Brown,101,70,61,#65463D,Perlervault
S17,Light Brown,137,93,73,#895D49,Perlervault
S18,Sand,220,163,132,#DCA384,Perlervault
S19,Bubble Gun,242,191,184,#F2BFB8,Perlervault
S20,Green,0,144,83,#009053,Perlervault
S21,Pastel Green,139,178,58,#8BB23A,Perlervault
S22,Purple,72,51,126,#48337E,Perlervault
S23,Royal Purple,100,79,164,#644FA4,Perlervault
S24,True Blue,0,120,191,#0078BF,Perlervault
S25,Hot Pink,220,81,154,#DC519A,Perlervault
S26,Magenta,218,67,131,#DA4383,Perlervault
S27,Yellow,234,193,37,#EAC125,Perlervault
S28,Lily Pink,221,161,204,#DDA1CC,Perlervault
S29,Pastel Yellow,225,211,103,#E1D367,Perlervault
S30,Shadow Green,158,201,205,#9EC9CD,Perlervault
S31,Sea Mist,178,215,206,#B2D7CE,Perlervault
S32,Beeswax,238,211,158,#EED39E,Perlervault
S33,Maverick,192,183,215,#C0B7D7,Perlervault
S34,Red,182,25,39,#B61927,Perlervault
S35,Mona Lisa,225,204,210,#E1CCD2,Perlervault
S36,Old Pink,206,109,131,#CE6D83,Perlervault
S37,Blue-Green,96,191,203,#60BFCB,Perlervault
S38,Burgundy,163,19,74,#A3134A,Perlervault
S39,Yellow Orange,230,135,57,#E68739,Perlervault
S40,Carnation Pink,225,130,176,#E182B0,Perlervault
S41,Copper,157,91,46,#9D5B2E,LThanda
S42,Silver,103,107,115,#676B73,LThanda
S43,Dark Gray,112,117,123,#70757B,Perlervault
S44,Sky Blue,167,205,222,#A7CDDE,Perlervault
S45,Medium Turquoise,0,165,161,#00A5A1,Perlervault
S46,Bright Green,142,195,36,#8EC324,Perlervault
S47,Marigold,178,121,56,#B27938,Perlervault
S48,Corn,236,192,61,#ECC03D,Perlervault
S49,Mulberry Wood,146,30,93,#921E5D,Perlervault
S50,Mandys Pink,226,164,136,#E2A488,Perlervault
S51,Spring Sun,223,218,189,#DFDABD,Perlervault
