5001,White Ab,196,187,178,#C4BBB2,LThanda
5002,Light Blue Ab,146,171,168,#92ABA8,LThanda
5003,Aegean Blue Ab,15,119,166,#0F77A6,LThanda
5004,Pink Ab,222,151,136,#DE9788,LThanda
5005,Yellow Ab,208,162,23,#D0A217,LThanda
5006,Red Ab,201,67,62,#C9433E,LThanda
5007,Cream Ab,200,183,145,#C8B791,LThanda
5008,Bright Green Ab,133,145,41,#859129,LThanda
5009,Baby Blue Ab,109,149,152,#6D9598,LThanda
5010,Mauve Ab,175,137,165,#AF89A5,LThanda
5011,Crystal Ab,90,92,91,#5A5C5B,LThanda
5012,Orange Ab,209,55,37,#D13725,LThanda
8165,Aqua Mist,149,179,180,#95B3B4,LThanda
8174,Mid Aqua Marine,90,149,161,#5A95A1,LThanda
8175,Aqua Marine,49,139,158,#318B9E,LThanda
8176,Dark Aqua Marine,13,79,110,#0D4F6E,LThanda
8177,Pale Turquoise,137,176,161,#89B0A1,LThanda
8178,Mid Turquoise,113,158,156,#719E9C,LThanda
8179,Turquoise,70,131,143,#46838F,LThanda
8180,Dark Turquoise,65,124,132,#417C84,LThanda
8181,Oriental Turquoise,24,101,114,#186572,LThanda
8183,Turquoise Ice,153,159,148,#999F94,LThanda
8184,Pale Slate,112,128,125,#70807D,LThanda
8185,Mid Slate,91,108,110,#5B6C6E,LThanda
8186,Slate,59,75,81,#3B4B51,LThanda
8187,Dark Slate,37,61,67,#253D43,LThanda
8188,Light Jade,80,144,141,#50908D,LThanda
8189,Jade,46,122,119,#2E7A77,LThanda
8190,Dark Jade,11,67,67,#0B4343,LThanda
8209,Dark Beryl,52,85,74,#34554A,LThanda
8212,Light Agave,117,153,142,#75998E,LThanda
8213,Agave,82,133,125,#52857D,LThanda
8214,Dark Agave,68,88,84,#445854,LThanda
8215,Pine Green,53,79,75,#354F4B,LThanda
8216,Dark Pine Green,23,54,50,#173632,LThanda
8001,Black,31,31,36,#1F1F24,LThanda
8405,Burnt Umber,55,40,41,#372829,LThanda
8415,Stone,147,128,114,#938072,LThanda
8416,Dark Stone,112,102,87,#706657,LThanda
8417,Smoke,73,71,64,#494740,LThanda
8418,Black Pearl,52,44,40,#342C28,LThanda
8420,Dark Ash,154,144,120,#9A9078,LThanda
8422,Deep Ocean,77,76,81,#4D4C51,LThanda
8426,Medium Clay,122,92,78,#7A5C4E,LThanda
8427,Dark Clay,106,74,60,#6A4A3C,LThanda
8436,Smokey Grey,122,129,120,#7A8178,LThanda
8437,Dark Cement,113,102,95,#71665F,LThanda
8438,Thunder Grey,90,91,86,#5A5B56,LThanda
8439,Storm Grey,67,60,56,#433C38,LThanda
8442,Medium Dove,122,123,132,#7A7B84,LThanda
8443,Dark Dove,88,88,98,#585862,LThanda
8444,Mist,149,151,151,#959797,LThanda
8445,Pebble,123,132,135,#7B8487,LThanda
8446,Shadow,77,75,85,#4D4B55,LThanda
8447,Blue Gum,56,74,82,#384A52,LThanda
8448,Steel,64,62,68,#403E44,LThanda
8108,Blue Grey,135,151,167,#8797A7,LThanda
8109,Mid Blue Grey,101,124,150,#657C96,LThanda
8110,Blue Shadow,64,102,141,#40668D,LThanda
8115,Duck Egg Blue,115,151,168,#7397A8,LThanda
8116,Sky Blue,100,137,169,#6489A9,LThanda
8117,Mid Sky Blue,80,119,159,#50779F,LThanda
8118,Dark Sky Blue,66,95,136,#425F88,LThanda
8119,Light Delft,42,76,129,#2A4C81,LThanda
8120,Delft,48,74,127,#304A7F,LThanda
8121,Junior Navy,36,47,94,#242F5E,LThanda
8122,Azure,105,148,168,#6994A8,LThanda
8123,Cornflower,46,95,153,#2E5F99,LThanda
8124,Dark Cornflower,39,86,152,#275698,LThanda
8125,Forget-Me-Not Blue,85,151,185,#5597B9,LThanda
8126,Delphinium Blue,52,125,181,#347DB5,LThanda
8127,Santorini Blue,17,94,160,#115EA0,LThanda
8128,Reflex Blue,14,83,150,#0E5396,LThanda
8129,Dark Reflex Blue,14,80,157,#0E509D,LThanda
8130,Ocean Blue,18,63,133,#123F85,LThanda
8131,Navy Blue,19,59,123,#133B7B,LThanda
8132,Light Glacier,130,179,174,#82B3AE,LThanda
