H01,White,229,236,241,#E5ECF1,rYonder
H03,Yellow,233,199,4,#E9C704,rYonder
H05,Red,180,6,14,#B4060E,rYonder
H07,Purple,113,34,151,#712297,rYonder
H09,Light Blue,2,91,195,#025BC3,rYonder
H10,Green,2,118,67,#027643,rYonder
H17,Grey,131,143,152,#838F98,rYonder
H18,Black,20,19,21,#141315,rYonder
H20,Reddish Brown,141,42,15,#8D2A0F,rYonder
H26,Matt Rose,232,164,152,#E8A498,rYonder
H32,Neon Fuchsia,255,32,141,#FF208D,rYonder
H34,Neon Yellow,229,239,19,#E5EF13,rYonder
H35,Neon Red,255,40,51,#FF2833,rYonder
H36,Neon Blue,35,83,176,#2353B0,rYonder
H37,Neon Green,6,183,60,#06B73C,rYonder
H38,Neon Orange,253,134,0,#FD8600,rYonder
H43,Pastel Yellow,231,228,90,#E7E45A,rYonder
H44,Pastel Red,249,97,96,#F96160,rYonder
H45,Pastel Purple,142,105,205,#8E69CD,rYonder
H46,Pastel Blue,81,174,228,#51AEE4,rYonder
H47,Pastel Green,128,223,150,#80DF96,rYonder
H48,Pastel Pink,214,122,209,#D67AD1,rYonder
H60,Teddybear Brown,240,152,30,#F0981E,rYonder
H70,Light Grey,165,179,192,#A5B3C0,rYonder
H79,Apricot,248,118,51,#F87633,rYonder
