N01,Black,58,61,65,#3A3D41,LThanda
N02,Dark Brown,80,68,59,#50443B,LThanda
N03,Brown Medium,90,62,54,#5A3E36,LThanda
N04,Maroon,129,53,71,#813547,LThanda
N05,Caramel,167,98,36,#A76224,LThanda
N06,Tan,173,150,126,#AD967E,LThanda
N07,Sand,238,177,130,#EEB182,LThanda
N08,Ash,141,139,127,#8D8B7F,LThanda
N09,Hunter Green,47,74,57,#2F4A39,LThanda
N10,Light Grey,211,203,203,#D3CBCB,LThanda
N11,Purple,100,69,145,#644591,LThanda
N12,Ivory,226,208,191,#E2D0BF,LThanda
N13,Orange,243,96,27,#F3601B,LThanda
N14,Yellow,249,202,0,#F9CA00,LThanda
N15,White,244,244,243,#F4F4F3,LThanda
N16,Green,41,122,59,#297A3B,LThanda
N17,Bright Blue,59,117,203,#3B75CB,LThanda
N18,Light Rose,225,180,171,#E1B4AB,LThanda
N19,Red,223,38,56,#DF2638,LThanda
N20,Light Brown,181,139,105,#B58B69,LThanda
N21,Light Yellow,245,236,141,#F5EC8D,LThanda
N22,Lime,72,175,79,#48AF4F,LThanda
N23,Medium Blue,113,163,230,#71A3E6,LThanda
N24,Lavender,182,160,219,#B6A0DB,LThanda
N25,Pink,238,106,151,#EE6A97,LThanda
N26,Peach,252,168,121,#FCA879,LThanda
N27,Chocolate,135,95,82,#875F52,LThanda
N28,Sky,167,198,241,#A7C6F1,LThanda
N29,Gold,238,149,39,#EE9527,LThanda
N30,Kiwi,199,191,94,#C7BF5E,LThanda
