80-15179,Evergreen,48,85,69,#305545,Perlervault
80-15181,Light Grey,179,186,184,#B3BAB8,Perlervault
80-15182,Lavender,175,159,206,#AF9FCE,Perlervault
80-15199,Shamrock,0,143,83,#008F53,Perlervault
80-15200,Cobalt,0,101,177,#0065B1,Perlervault
80-15201,Midnight,47,60,85,#2F3C55,Perlervault
80-15202,Robin's Egg,169,205,213,#A9CDD5,Perlervault
80-15203,Flamingo,242,175,183,#F2AFB7,Perlervault
80-15204,Salmon,225,116,122,#E1747A,Perlervault
80-15205,Fawn,201,163,133,#C9A385,Perlervault
80-15206,Pewter,148,161,157,#94A19D,Perlervault
80-15207,Charcoal,79,89,90,#4F595A,Perlervault
80-15208,Toasted Marshmallow,222,218,206,#DEDACE,Perlervault
80-15210,Orchid,177,98,142,#B1628E,Perlervault
80-15211,Tomato,209,67,55,#D14337,Perlervault
80-15212,Spice,217,89,58,#D9593A,Perlervault
80-15213,Apricot,245,161,104,#F5A168,Perlervault
80-15214,Sherbet,216,228,124,#D8E47C,Perlervault
80-15215,Mist,147,176,189,#93B0BD,Perlervault
80-15216,Sky,74,192,216,#4AC0D8,Perlervault
80-15217,Lagoon,0,164,172,#00A4AC,Perlervault
80-15218,Teal,4,127,138,#047F8A,Perlervault
80-15219,Fern,127,151,26,#7F971A,Perlervault
80-15220,Olive,105,110,49,#696E31,Perlervault
80-15961,Cherry,157,43,58,#9D2B3A,Perlervault
80-19001,White,234,239,238,#EAEFEE,Perlervault
80-19002,Creme,225,226,187,#E1E2BB,Perlervault
80-19003,Yellow,231,206,62,#E7CE3E,Perlervault
80-19004,Orange,235,123,49,#EB7B31,Perlervault
80-19005,Red,176,53,60,#B0353C,Perlervault
80-19006,Bubblegum,216,114,154,#D8729A,Perlervault
80-19007,Purple,104,75,134,#684B86,Perlervault
80-19008,Dark Blue,14,80,146,#0E5092,Perlervault
80-19009,Light Blue,39,140,201,#278CC9,Perlervault
80-19010,Dark Green,0,123,78,#007B4E,Perlervault
80-19011,Light Green,24,199,177,#18C7B1,Perlervault
80-19012,Brown,103,76,68,#674C44,Perlervault
80-19017,Grey,144,148,151,#909497,Perlervault
80-19018,Black,50,50,52,#323234,Perlervault
80-19020,Rust,153,80,67,#995043,Perlervault
80-19021,Light Brown,147,104,72,#936848,Perlervault
80-19033,Peach,233,191,185,#E9BFB9,Perlervault
80-19035,Tan,197,172,144,#C5AC90,Perlervault
80-19038,Magenta,224,66,132,#E04284,Perlervault
80-19052,Pastel Blue,74,156,207,#4A9CCF,Perlervault
80-19053,Pastel Green,109,204,148,#6DCC94,Perlervault
80-19054,Pastel Lavender,147,127,191,#937FBF,Perlervault
80-19056,Pastel Yellow,233,226,144,#E9E290,Perlervault
80-19057,Cheddar,251,177,70,#FBB146,Perlervault
80-19058,Toothpaste,150,209,212,#96D1D4,Perlervault
80-19059,Hot Coral,221,89,91,#DD595B,Perlervault
80-19060,Plum,167,93,157,#A75D9D,Perlervault
80-19061,Kiwi Lime,105,184,69,#69B845,Perlervault
80-19062,Turquoise,0,152,197,#0098C5,Perlervault
80-19063,Blush,249,146,151,#F99297,Perlervault
80-19070,Periwinkle Blue,102,131,183,#6683B7,Perlervault
80-19079,Light Pink,225,188,206,#E1BCCE,Perlervault
80-19080,Green,77,171,100,#4DAB64,Perlervault
80-19083,Pink,212,84,150,#D45496,Perlervault
80-19088,Raspberry,152,56,100,#983864,Perlervault
80-19090,Butterscotch,218,153,100,#DA9964,Perlervault
80-19091,Parrot Green,0,145,136,#009188,Perlervault
80-19092,Dark Grey,88,92,97,#585C61,Perlervault
80-19093,Blueberry Creme,133,168,227,#85A8E3,Perlervault
80-19096,Cranapple,132,57,71,#843947,Perlervault
80-19097,Prickly Pear,187,201,56,#BBC938,Perlervault
80-19098,Sand,229,190,158,#E5BE9E,Perlervault
80-15240,Mint,179,238,213,#B3EED5,BIORIO
80-15241,Sour Apple,163,222,111,#A3DE6F,BIORIO
80-15242,Cotton Candy,244,121,176,#F479B0,BIORIO
80-15243,Grape,80,59,156,#503B9C,BIORIO
80-15244,Rose,210,93,114,#D25D72,BIORIO
80-15245,Iris,78,86,163,#4E56A3,BIORIO
80-15246,Tangerine,253,89,24,#FD5918,BIORIO
80-15247,Forest,0,93,87,#005D57,BIORIO
80-15248,Eggplant,111,50,85,#6F3255,BIORIO
80-15249,Honey,218,140,44,#DA8C2C,BIORIO
80-15250,Gingerbread,126,84,70,#7E5446,BIORIO
80-15251,Thistle,140,140,167,#8C8CA7,Exodeca1
80-15252,Slate Blue,94,109,123,#5E6D7B,Exodeca1
80-15253,Denim,76,99,136,#4C6388,Exodeca1
80-15254,Sage,154,169,142,#9AA98E,Exodeca1
80-15255,Orange Cream,239,183,155,#EFB79B,Exodeca1
80-15256,Fruit Punch,202,59,101,#CA3B65,Exodeca1
80-15257,Fuchsia,203,89,185,#CB59B9,Exodeca1
80-15258,Mulberry,113,72,117,#714875,Exodeca1
80-15259,Slime,200,200,92,#C8C85C,Exodeca1
80-15260,Stone,152,140,140,#988C8C,Exodeca1
80-15261,Dark Spruce,20,49,59,#14313B,Exodeca1
80-15262,Cocoa,57,41,40,#392928,Exodeca1
80-15265,Twilight Plum,198,133,177,#C685B1,Exodeca1
80-15266,Caribbean Sea,108,200,173,#6CC8AD,Exodeca1
80-15267,Frosted Lilac,205,183,195,#CDB7C3,Exodeca1
80-15273,Brick,252,149,116,#FC9574,toptierbeads.com
80-15274,Rich Butter,246,202,105,#F6CA69,toptierbeads.com
80-15275,Peacock,0,144,172,#0090AC,toptierbeads.com
