80-15179,Evergreen,48,85,69,#305545,Perlervault
80-15181,Light Grey,179,186,184,#B3BAB8,Perlervault
80-19001,White,234,239,238,#EAEFEE,Perlervault
80-19002,Creme,225,226,187,#E1E2BB,Perlervault
80-19003,Yellow,231,206,62,#E7CE3E,Perlervault
80-19004,Orange,235,123,49,#EB7B31,Perlervault
80-19005,Red,176,53,60,#B0353C,Perlervault
80-19006,Bubblegum,216,114,154,#D8729A,Perlervault
80-19007,Purple,104,75,134,#684B86,Perlervault
80-19008,Dark Blue,14,80,146,#0E5092,Perlervault
80-19009,Light Blue,39,140,201,#278CC9,Perlervault
80-19011,Light Green,24,199,177,#18C7B1,Perlervault
80-19012,Brown,103,76,68,#674C44,Perlervault
80-19017,Grey,144,148,151,#909497,Perlervault
80-19018,Black,50,50,52,#323234,Perlervault
80-19021,Light Brown,147,104,72,#936848,Perlervault
80-19033,Peach,233,191,185,#E9BFB9,Perlervault
80-19035,Tan,197,172,144,#C5AC90,Perlervault
80-19038,Magenta,224,66,132,#E04284,Perlervault
80-19052,Pastel Blue,74,156,207,#4A9CCF,Perlervault
80-19054,Pastel Lavender,147,127,191,#937FBF,Perlervault
80-19056,Pastel Yellow,233,226,144,#E9E290,Perlervault
80-19057,Cheddar,251,177,70,#FBB146,Perlervault
80-19058,Toothpaste,150,209,212,#96D1D4,Perlervault
80-19059,Hot Coral,221,89,91,#DD595B,Perlervault
80-19060,Plum,167,93,157,#A75D9D,Perlervault
80-19061,Kiwi Lime,105,184,69,#69B845,Perlervault
80-19062,Turquoise,0,152,197,#0098C5,Perlervault
80-19063,Blush,249,146,151,#F99297,Perlervault
80-19079,Light Pink,225,188,206,#E1BCCE,Perlervault
80-19080,Green,77,171,100,#4DAB64,Perlervault
80-19083,Pink,212,84,150,#D45496,Perlervault
80-19088,Raspberry,152,56,100,#983864,Perlervault
80-19090,Butterscotch,218,153,100,#DA9964,Perlervault
80-19091,Parrot Green,0,145,136,#009188,Perlervault
80-19092,Dark Grey,88,92,97,#585C61,Perlervault
80-19093,Blueberry Creme,133,168,227,#85A8E3,Perlervault
80-19096,Cranapple,132,57,71,#843947,Perlervault
80-19097,Prickly Pear,187,201,56,#BBC938,Perlervault
80-19098,Sand,229,190,158,#E5BE9E,Perlervault
80-14110,Toasted Marshmallow,222,218,206,#DEDACE,Perlervault
