H01,White,211,212,210,90.00,0.02,0.83,84.79,-0.70,0.86,Jeppewl
H02,Cream,213,206,163,51.60,0.37,0.74,82.34,-4.42,22.31,Jeppewl
H03,Yellow,231,178,1,46.17,0.99,0.45,75.35,6.86,77.84,Jeppewl
H04,Orange,231,70,1,18.00,0.99,0.45,53.35,59.96,64.28,Jeppewl
H05,Red,208,2,1,0.29,0.99,0.41,43.44,68.53,57.33,Jeppewl
H06,Pink,236,123,144,348.85,0.75,0.70,64.97,45.55,8.76,Jeppewl
H07,Purple,120,21,125,297.12,0.71,0.29,29.44,52.98,-35.24,Jeppewl
H08,Blue,1,56,158,218.98,0.99,0.31,27.58,27.54,-59.16,Jeppewl
H09,Light blue,1,88,188,212.09,0.99,0.37,38.93,18.05,-58.52,Jeppewl
H10,Green,1,120,56,147.73,0.98,0.24,43.84,-44.00,27.07,Jeppewl
H11,Light green,0,192,142,164.38,1.00,0.38,69.22,-52.48,13.97,Jeppewl
H12,Brown,75,43,19,25.71,0.60,0.18,21.10,12.31,21.49,Jeppewl
H13,Transparent Red,192,36,53,353.46,0.68,0.45,42.35,60.14,30.88,LThanda
H16,Transparent Green,55,184,118,149.30,0.54,0.47,66.83,-50.08,23.68,LThanda
H17,Grey,126,132,133,188.57,0.03,0.51,54.69,-2.00,-1.31,Jeppewl
H18,Black,34,29,28,10.00,0.10,0.12,11.29,2.19,1.57,Jeppewl
H19,Clear,216,210,206,24.00,0.11,0.83,84.56,1.36,2.70,LThanda
H20,Reddish brown,150,39,3,14.69,0.96,0.30,33.86,44.79,72.85,Jeppewl
H21,Light brown,196,102,11,29.51,0.89,0.41,53.24,32.58,59.19,Jeppewl
H22,Dark red,183,4,10,357.99,0.96,0.37,38.16,62.10,48.66,Jeppewl
H24,Translucent Purple,104,62,154,267.39,0.43,0.42,35.44,37.62,-43.66,LThanda
H25,Translucent Brown,135,89,61,22.70,0.38,0.38,42.20,15.71,23.85,LThanda
H26,Flesh,230,146,123,12.90,0.68,0.69,68.61,29.23,25.44,Jeppewl
H27,Beige,208,158,107,30.30,0.52,0.62,68.70,12.39,33.74,Jeppewl
H28,Dark green,22,55,34,141.82,0.43,0.15,20.12,-17.97,9.58,Jeppewl
H29,Claret,195,0,50,344.62,1.00,0.38,40.95,66.48,31.23,Jeppewl
H30,Burgundy,98,19,24,356.20,0.68,0.23,20.55,35.08,18.74,Jeppewl
H31,Turquoise,8,136,159,189.14,0.90,0.33,52.02,-22.02,-20.88,Jeppewl
H32,Neon Pink (Fucsia),255,32,141,330.67,1.00,0.56,56.30,82.51,-1.64,LThanda
H33,Cerise,255,57,86,351.21,1.00,0.61,56.94,73.52,31.87,LThanda
H34,Neon Yellow,229,239,19,62.73,0.87,0.51,90.98,-24.48,87.45,LThanda
H35,Neon Red,255,40,51,356.93,1.00,0.58,55.09,76.21,49.41,LThanda
H36,Neon Blue,35,83,176,219.57,0.67,0.41,37.26,18.61,-54.14,LThanda
H37,Neon Green,6,183,60,138.31,0.94,0.37,65.15,-63.57,49.84,LThanda
H38,Neon Orange,253,134,0,31.78,1.00,0.50,67.97,39.06,74.43,LThanda
H39,Fluorescent Yellow,241,242,28,60.28,0.89,0.53,92.70,-20.83,87.97,LThanda
H40,Fluorescent Orange,254,99,11,21.73,0.99,0.52,61.67,56.05,69.03,LThanda
H41,Fluorescent Blue,38,89,178,218.14,0.65,0.42,39.19,15.74,-52.19,LThanda
H42,Fluorescent Green,12,189,81,143.39,0.88,0.39,67.33,-62.60,42.98,LThanda
H43,Pastel Yellow,240,234,55,58.05,0.86,0.58,90.62,-16.69,80.26,LThanda
H44,Pastel red,246,76,64,3.96,0.91,0.61,57.20,63.84,44.18,Jeppewl
H45,Pastel purple,144,95,188,271.61,0.41,0.55,49.18,37.98,-41.61,Jeppewl
H46,Pastel blue,27,162,208,195.25,0.77,0.46,62.19,-17.72,-32.97,Jeppewl
H47,Pastel green,99,198,97,118.81,0.47,0.58,72.16,-49.33,41.57,Jeppewl
H48,Pastel pink,215,87,175,318.75,0.62,0.59,56.45,59.82,-22.05,Jeppewl
H49,Azure,0,158,184,188.48,1.00,0.36,59.81,-25.09,-23.21,Jeppewl
H60,Teddybear brown,221,137,1,37.09,0.99,0.44,64.38,24.37,69.91,Jeppewl
H70,Light grey,154,161,167,207.69,0.07,0.63,65.87,-1.28,-3.98,Jeppewl
H71,Dark grey,72,78,81,200.00,0.06,0.30,32.75,-1.71,-2.60,Jeppewl
H75,Tan,186,126,77,26.97,0.44,0.52,57.94,18.10,35.80,Jeppewl
H76,Nougat,141,83,36,26.86,0.59,0.35,41.18,20.07,36.72,Jeppewl
H77,Cloudy white,196,190,175,42.86,0.15,0.73,77.08,-0.50,8.31,Jeppewl
H78,Light flesh,229,166,132,21.03,0.65,0.71,73.28,19.09,26.77,Jeppewl
H79,Aprikot,242,100,1,24.65,0.99,0.48,59.88,51.26,68.72,Jeppewl
H82,Plum,145,2,74,329.79,0.97,0.29,30.78,55.56,0.29,Jeppewl
H83,Petrol blue,0,107,137,193.14,1.00,0.27,41.72,-14.56,-23.81,Jeppewl
H84,Olive green,99,104,15,63.37,0.75,0.23,42.14,-13.12,44.59,Jeppewl
