A1,A1,250,244,200,52.80,0.83,0.88,95.66,-4.93,21.96,Asher
A10,A10,247,124,49,22.73,0.93,0.58,65.29,42.53,59.59,Asher
A11,A11,255,221,153,40.00,1.00,0.80,89.52,2.74,37.71,Asher
A12,A12,254,159,114,19.29,0.99,0.72,74.24,30.96,38.16,Asher
A13,A13,255,195,101,36.62,1.00,0.70,82.50,11.61,54.64,Asher
A14,A14,253,84,61,7.19,0.98,0.62,59.49,62.92,48.58,Asher
A15,A15,255,243,101,55.32,1.00,0.70,94.44,-12.69,67.97,Asher
A16,A16,255,255,159,60.00,1.00,0.81,98.15,-13.60,45.86,Asher
A17,A17,255,227,110,48.41,1.00,0.72,90.47,-4.14,59.64,Asher
A18,A18,254,190,125,30.23,0.98,0.74,81.50,15.67,41.61,Asher
A19,A19,253,124,114,4.32,0.97,0.72,66.91,48.27,28.71,Asher
A2,A2,255,255,213,60.00,1.00,0.92,99.06,-6.76,20.12,Asher
A20,A20,255,213,104,43.31,1.00,0.70,86.92,2.53,58.31,Asher
A21,A21,255,227,149,44.15,1.00,0.79,90.95,-0.73,41.57,Asher
A22,A22,244,245,125,60.50,0.86,0.73,94.32,-16.24,57.07,Asher
A23,A23,230,201,183,22.98,0.48,0.81,82.92,7.40,12.74,Asher
A24,A24,247,248,162,60.70,0.86,0.80,95.80,-12.87,41.25,Asher
A25,A25,255,214,125,41.08,1.00,0.75,87.40,3.64,48.96,Asher
A26,A26,255,200,48,44.06,1.00,0.59,83.33,6.49,76.38,Asher
A3,A3,254,255,139,60.52,1.00,0.77,97.82,-15.97,54.96,Asher
A4,A4,251,237,86,54.91,0.95,0.66,92.46,-12.26,71.82,Asher
A5,A5,244,215,56,50.74,0.90,0.59,86.07,-5.56,75.99,Asher
A6,A6,254,172,76,32.36,0.99,0.65,76.74,21.74,59.67,Asher
A7,A7,254,139,76,21.24,0.99,0.65,69.51,38.81,51.92,Asher
A8,A8,255,218,69,48.06,1.00,0.64,87.89,-1.95,73.70,Asher
A9,A9,255,153,91,22.68,1.00,0.68,72.76,32.86,48.22,Asher
B1,B1,230,238,49,62.54,0.85,0.56,90.87,-22.94,81.80,Asher
B10,B10,149,211,194,163.55,0.41,0.71,80.11,-23.33,2.08,Asher
B11,B11,93,114,42,77.50,0.46,0.31,44.98,-19.57,36.42,Asher
B12,B12,22,111,65,148.99,0.67,0.26,41.09,-36.80,18.56,Asher
B13,B13,202,235,123,77.68,0.74,0.70,88.64,-27.81,50.46,Asher
B14,B14,173,233,70,82.09,0.79,0.59,85.81,-42.10,69.25,Asher
B15,B15,46,81,50,126.86,0.28,0.25,31.10,-20.23,14.37,Asher
B16,B16,197,237,156,89.63,0.69,0.77,89.32,-26.69,35.11,Asher
B17,B17,155,177,58,71.09,0.51,0.46,68.55,-23.98,55.85,Asher
B18,B18,230,238,73,62.91,0.83,0.61,90.99,-21.97,74.59,Asher
B19,B19,36,184,140,162.16,0.67,0.43,66.94,-47.72,11.89,Asher
B2,B2,99,243,71,110.23,0.88,0.62,85.61,-68.55,67.68,Asher
B20,B20,194,240,204,133.04,0.61,0.85,90.85,-21.61,12.58,Asher
B21,B21,21,106,107,180.70,0.67,0.25,40.46,-23.16,-7.55,Asher
B22,B22,11,60,67,187.50,0.72,0.15,22.68,-12.92,-8.90,Asher
B23,B23,48,58,33,84.00,0.27,0.18,22.88,-9.44,14.20,Asher
B24,B24,238,252,165,69.66,0.94,0.82,96.21,-17.83,40.18,Asher
B25,B25,78,132,109,154.44,0.26,0.41,50.95,-23.56,6.83,Asher
B26,B26,141,122,53,47.05,0.45,0.38,51.65,-1.40,39.63,Asher
B27,B27,204,225,175,85.20,0.45,0.78,86.89,-15.61,22.19,Asher
B28,B28,158,229,185,142.82,0.58,0.76,85.41,-31.13,14.49,Asher
B29,B29,197,226,84,72.25,0.71,0.61,85.45,-28.83,64.01,Asher
B3,B3,158,247,128,104.87,0.88,0.74,89.56,-48.00,48.66,Asher
B30,B30,226,252,177,80.80,0.93,0.84,95.57,-20.68,33.21,Asher
B31,B31,176,231,146,98.82,0.64,0.74,86.23,-32.60,35.85,Asher
B32,B32,156,171,90,71.11,0.33,0.51,67.23,-17.85,39.71,Asher
B4,B4,93,224,53,105.96,0.73,0.54,79.55,-64.72,67.60,Asher
