C01,White,!,234,238,243,213.33,0.27,0.94,93.93,-0.42,-2.89,Perlervault
C02,Black,#,41,42,43,210.00,0.02,0.16,17.00,-0.20,-0.81,Perlervault
C03,Tangerine,$,255,166,48,34.20,1.00,0.59,75.29,24.18,69.37,Perlervault
C04,Yellow Orange,%,230,135,57,27.05,0.78,0.56,65.32,30.45,55.38,Perlervault
C05,Tall Poppy,',203,53,49,1.56,0.61,0.49,46.26,58.08,38.22,Perlervault
C06,Red,(,182,25,39,354.65,0.76,0.41,39.22,59.41,35.16,Perlervault
C07,Carnation Pink,),225,130,176,330.95,0.61,0.70,65.83,42.30,-8.30,Perlervault
C08,Hot Pink,*,220,81,154,328.49,0.67,0.59,55.52,61.02,-11.14,Perlervault
C09,Magenta,+,218,67,131,334.57,0.67,0.56,52.46,63.34,-2.09,Perlervault
C10,Picasso,-,234,222,127,53.27,0.72,0.71,87.61,-8.64,47.83,Perlervault
C11,Yellow,.,234,193,37,47.51,0.82,0.53,79.48,0.86,75.29,Perlervault
C12,Pistachio,/,151,207,135,106.67,0.43,0.67,77.85,-31.55,30.14,Perlervault
C13,Pastel Green,0,139,178,58,79.50,0.51,0.46,67.75,-30.97,54.69,Perlervault
C14,Green,1,0,144,83,154.58,1.00,0.28,52.48,-47.61,23.40,Perlervault
C15,Green Tea,2,0,118,95,168.31,1.00,0.23,43.92,-34.30,4.74,Perlervault
C16,Bright Carrot,3,249,111,64,15.24,0.94,0.61,63.24,50.08,50.83,Perlervault
C17,Orange,4,235,96,39,17.45,0.83,0.54,58.20,51.10,56.67,Perlervault
C18,Sky Blue,5,167,205,222,198.55,0.45,0.76,80.27,-8.76,-12.56,Perlervault
C19,Baby Blue,6,46,171,216,195.88,0.69,0.51,65.49,-18.21,-32.26,Perlervault
C20,Light Blue,7,0,132,206,201.55,1.00,0.40,52.90,-2.65,-46.45,Perlervault
C21,Dark Blue,8,0,79,164,211.10,1.00,0.32,34.54,14.15,-51.43,Perlervault
C22,Bubble Gun,9,242,191,184,7.24,0.69,0.84,81.62,17.24,10.51,Perlervault
C23,Sand,:,220,163,132,21.14,0.56,0.69,71.61,17.15,24.35,Perlervault
C24,Beeswax,;,238,211,158,39.75,0.70,0.78,85.62,1.87,29.72,Perlervault
C25,Lavender,=,138,126,194,250.59,0.36,0.63,56.31,19.75,-33.89,Perlervault
C26,Pastel Lavender,?,145,101,178,274.29,0.33,0.55,50.15,32.52,-34.28,Perlervault
C27,Purple,@,72,51,126,256.80,0.42,0.35,27.44,28.38,-39.45,Perlervault
C28,Marigold,A,178,121,56,31.97,0.52,0.46,55.51,15.98,43.56,Perlervault
C29,Buccaneer,B,179,85,64,10.96,0.47,0.48,47.56,36.54,30.14,Perlervault
C30,Redwood,C,154,69,65,2.70,0.41,0.43,40.42,35.21,19.69,Perlervault
C31,Light Brown,D,137,93,73,18.75,0.30,0.41,43.69,15.47,18.74,Perlervault
C32,Brown,E,101,70,61,13.50,0.25,0.32,32.88,12.00,10.73,Perlervault
C33,Gray,F,149,150,152,220.00,0.01,0.59,62.06,0.03,-1.19,Perlervault
C34,Dark Gray,G,112,117,123,212.73,0.05,0.46,49.00,-0.60,-3.95,Perlervault
C35,Silver,H,103,107,115,220.00,0.06,0.43,45.13,0.21,-4.99,LThanda
C36,Old Pink,I,206,109,131,346.39,0.50,0.62,57.75,40.56,5.36,Perlervault
C37,True Blue,J,0,120,191,202.30,1.00,0.37,48.50,-1.27,-44.88,Perlervault
C38,Turquoise,K,85,164,217,204.09,0.63,0.59,64.56,-8.52,-34.18,Perlervault
