MA1,MA1,!,255,246,212,47.44,1.00,0.92,96.79,-2.41,17.45,surf00049
MA2,MA2,#,246,249,229,69.00,0.63,0.94,97.23,-4.40,9.25,surf00049
MA3,MA3,$,255,251,170,57.18,1.00,0.83,97.29,-10.42,39.36,surf00049
MA4,MA4,%,255,223,88,48.50,1.00,0.67,89.27,-3.54,67.81,surf00049
MA5,MA5,',254,207,77,44.07,0.99,0.65,85.11,3.60,67.91,surf00049
MA6,MA6,(,255,168,12,38.52,1.00,0.52,75.63,22.47,78.07,surf00049
MA7,MA7,),255,136,55,24.30,1.00,0.61,68.86,39.84,60.84,surf00049
MA8,MA8,*,234,196,49,47.68,0.81,0.55,80.29,-0.34,72.62,surf00049
MA9,MA9,+,241,170,143,16.53,0.78,0.75,75.72,22.84,24.34,surf00049
MA10,MA10,-,255,143,66,24.44,1.00,0.63,70.38,36.71,57.57,surf00049
MA11,MA11,.,255,225,161,40.85,1.00,0.82,90.64,1.58,35.12,surf00049
MA12,MA12,/,244,179,156,15.68,0.80,0.78,78.39,20.71,21.04,surf00049
MA13,MA13,0,255,177,0,41.65,1.00,0.50,77.70,17.67,80.79,surf00049
MA14,MA14,1,255,101,16,21.34,1.00,0.53,62.17,55.58,68.44,surf00049
MA15,MA15,2,218,240,92,68.92,0.83,0.65,90.78,-26.61,66.90,surf00049
MA16,MA16,3,249,251,190,61.97,0.88,0.86,97.17,-10.15,29.11,surf00049
MA17,MA17,4,255,217,118,43.36,1.00,0.73,88.06,1.53,53.12,surf00049
MA18,MA18,5,255,202,154,28.51,1.00,0.80,84.91,12.65,31.12,surf00049
MA19,MA19,6,236,122,146,347.37,0.75,0.70,64.83,46.27,7.41,surf00049
MA20,MA20,7,229,190,85,43.75,0.73,0.62,78.54,2.38,56.84,surf00049
MA21,MA21,8,255,229,150,45.14,1.00,0.79,91.46,-1.64,41.73,surf00049
MA22,MA22,9,247,232,152,50.53,0.86,0.78,91.57,-6.04,40.75,surf00049
MA23,MA23,:,240,203,177,24.76,0.68,0.82,84.18,9.22,17.82,surf00049
MA24,MA24,;,245,252,209,69.77,0.88,0.90,97.49,-9.38,19.85,surf00049
MA25,MA25,=,246,212,135,41.62,0.86,0.75,86.22,1.98,42.37,surf00049
MA26,MA26,?,255,203,75,42.67,1.00,0.65,84.21,5.98,67.83,surf00049
MB1,MB1,@,210,227,24,65.02,0.81,0.49,86.36,-26.54,82.58,surf00049
MB2,MB2,A,121,205,65,96.00,0.58,0.53,74.89,-48.83,59.07,surf00049
MB3,MB3,B,130,215,161,141.88,0.52,0.68,79.57,-37.43,18.72,surf00049
MB4,MB4,C,101,223,79,110.83,0.69,0.59,79.67,-60.38,58.37,surf00049
MB5,MB5,D,95,200,115,131.43,0.49,0.58,72.88,-48.56,33.44,surf00049
MB6,MB6,E,73,209,174,164.56,0.60,0.55,76.11,-44.96,6.64,surf00049
MB7,MB7,F,0,150,150,180.00,1.00,0.29,56.10,-32.36,-9.52,surf00049
MB8,MB8,G,8,119,79,158.38,0.87,0.25,43.96,-38.34,14.25,surf00049
MB9,MB9,H,24,56,35,140.62,0.40,0.16,20.61,-17.63,9.60,surf00049
MB10,MB10,I,131,207,195,170.53,0.44,0.66,78.11,-26.23,-1.49,surf00049
MB11,MB11,J,90,106,39,74.33,0.46,0.28,42.20,-16.90,34.73,surf00049
MB12,MB12,K,4,95,69,162.86,0.92,0.19,35.28,-31.03,8.21,surf00049
MB13,MB13,L,226,255,179,82.89,1.00,0.85,96.39,-21.85,33.31,surf00049
MB14,MB14,M,157,209,46,79.14,0.64,0.50,77.86,-38.81,69.10,surf00049
MB15,MB15,N,37,75,60,156.32,0.34,0.22,28.78,-17.73,4.78,surf00049
MB16,MB16,O,208,252,173,93.42,0.93,0.83,94.33,-27.58,33.36,surf00049
MB17,MB17,P,140,161,42,70.59,0.59,0.40,62.70,-23.31,55.75,surf00049
MB18,MB18,Q,210,217,88,63.26,0.63,0.60,83.98,-19.02,61.03,surf00049
MB19,MB19,R,73,188,169,170.09,0.46,0.51,69.65,-36.90,-0.01,surf00049
MB20,MB20,S,232,253,236,131.43,0.84,0.95,97.41,-9.90,5.79,surf00049
MB21,MB21,T,24,139,129,174.78,0.71,0.32,52.11,-32.25,-3.31,surf00049
MB22,MB22,U,12,92,91,179.25,0.77,0.20,34.98,-22.13,-5.89,surf00049
