H01,White,!,229,236,241,205.00,0.30,0.92,93.01,-1.40,-3.23,Jeppewl
H02,Cream,#,228,228,197,60.00,0.36,0.83,89.86,-5.18,15.15,Jeppewl
H03,Yellow,$,233,199,4,51.09,0.97,0.46,80.84,-3.16,81.50,Jeppewl
H04,Orange,%,209,72,3,20.10,0.97,0.42,49.73,51.83,59.79,Jeppewl
H05,Red,',180,6,14,357.24,0.94,0.36,37.60,61.15,46.47,Jeppewl
H06,Pink,(,234,138,165,343.12,0.70,0.73,68.30,39.74,1.66,Jeppewl
H07,Purple,),113,34,151,280.51,0.63,0.36,31.55,52.43,-48.04,Jeppewl
H08,Blue,*,2,57,163,219.50,0.98,0.32,28.34,28.92,-60.95,Jeppewl
H09,Light Blue,+,2,91,195,212.33,0.98,0.39,40.30,18.93,-60.37,Jeppewl
H10,Green,-,2,118,67,153.62,0.97,0.24,43.32,-41.09,20.31,Jeppewl
H11,Light Green,.,25,205,167,167.33,0.78,0.45,73.97,-50.40,7.23,Jeppewl
H12,Brown,/,62,39,26,21.67,0.41,0.17,18.14,9.05,12.96,Jeppewl
H13,Transparent Red,0,192,36,53,353.46,0.68,0.45,42.35,60.14,30.88,LThanda
H14,Transparent Yellow,1,228,170,50,40.45,0.77,0.55,73.20,10.74,65.65,galaxy
H16,Transparent Green,2,55,184,118,149.30,0.54,0.47,66.83,-50.08,23.68,LThanda
H17,Grey,3,131,143,152,205.71,0.09,0.55,58.73,-2.40,-6.25,Jeppewl
H18,Black,4,20,19,21,270.00,0.05,0.08,-9.96,0.87,-1.09,Jeppewl
H19,Clear,5,216,210,206,24.00,0.11,0.83,84.56,1.36,2.70,LThanda
H20,Reddish Brown,6,141,42,15,12.86,0.81,0.31,32.60,40.65,38.74,Jeppewl
H21,Light Brown,7,190,108,33,28.66,0.70,0.44,53.80,27.32,52.62,Jeppewl
H22,Dark Red,8,145,2,10,356.64,0.97,0.29,29.63,52.44,66.62,Jeppewl
H24,Translucent Purple,9,104,62,154,267.39,0.43,0.42,35.44,37.62,-43.66,LThanda
H25,Translucent Brown,:,135,89,61,22.70,0.38,0.38,42.20,15.71,23.85,LThanda
H26,Matt Rose,;,232,164,152,9.00,0.63,0.75,73.53,23.62,16.28,Jeppewl
H27,Beige,=,220,177,142,26.92,0.53,0.71,75.21,10.80,23.83,Jeppewl
H28,Dark Green,?,30,44,28,112.50,0.22,0.14,16.31,-9.92,8.53,Jeppewl
H29,Claret,@,191,1,66,339.47,0.99,0.38,40.40,66.13,20.34,Jeppewl
H30,Burgundy,A,78,12,27,346.36,0.73,0.18,15.29,31.04,9.03,Jeppewl
H31,Turquoise,B,72,154,185,196.46,0.45,0.50,59.88,-15.56,-23.56,Jeppewl
H32,Neon Fuchsia,C,255,32,141,330.67,1.00,0.56,56.30,82.51,-1.64,LThanda
H33,Cerise,D,255,57,86,351.21,1.00,0.61,56.94,73.52,31.87,Jeppewl
H34,Neon Yellow,E,229,239,19,62.73,0.87,0.51,90.98,-24.48,87.45,LThanda
H35,Neon Red,F,255,40,51,356.93,1.00,0.58,55.09,76.21,49.41,LThanda
H36,Neon Blue,G,35,83,176,219.57,0.67,0.41,37.26,18.61,-54.14,LThanda
H37,Neon Green,H,6,183,60,138.31,0.94,0.37,65.15,-63.57,49.84,LThanda
H38,Neon Orange,I,253,134,0,31.78,1.00,0.50,67.97,39.06,74.43,LThanda
H39,Fluorescent Yellow,J,241,242,28,60.28,0.89,0.53,92.70,-20.83,87.97,LThanda
H40,Fluorescent Orange,K,254,99,11,21.73,0.99,0.52,61.67,56.05,69.03,LThanda
H41,Fluorescent Blue,L,38,89,178,218.14,0.65,0.42,39.19,15.74,-52.19,LThanda
H42,Fluorescent Green,M,12,189,81,143.39,0.88,0.39,67.33,-62.60,42.98,LThanda
H43,Pastel Yellow,N,231,228,90,58.72,0.75,0.63,88.55,-15.75,65.61,Jeppewl
H44,Pastel Red,O,249,97,96,0.39,0.93,0.68,61.25,58.03,31.36,Jeppewl
H45,Pastel Purple,P,142,105,205,262.20,0.50,0.61,52.13,35.93,-46.71,Jeppewl
H46,Pastel Blue,Q,81,174,228,202.04,0.73,0.61,67.74,-11.20,-35.29,Jeppewl
