H01,White,!,229,236,241,205.00,0.30,0.92,93.01,-1.40,-3.23,rYonder
H03,Yellow,#,233,199,4,51.09,0.97,0.46,80.84,-3.16,81.50,rYonder
H05,Red,$,180,6,14,357.24,0.94,0.36,37.60,61.15,46.47,rYonder
H07,Purple,%,113,34,151,280.51,0.63,0.36,31.55,52.43,-48.04,rYonder
H09,Light Blue,',2,91,195,212.33,0.98,0.39,40.30,18.93,-60.37,rYonder
H10,Green,(,2,118,67,153.62,0.97,0.24,43.32,-41.09,20.31,rYonder
H17,Grey,),131,143,152,205.71,0.09,0.55,58.73,-2.40,-6.25,rYonder
H18,Black,*,20,19,21,270.00,0.05,0.08,-9.96,0.87,-1.09,rYonder
H20,Reddish Brown,+,141,42,15,12.86,0.81,0.31,32.60,40.65,38.74,rYonder
H26,Matt Rose,-,232,164,152,9.00,0.63,0.75,73.53,23.62,16.28,rYonder
H32,Neon Fuchsia,.,255,32,141,330.67,1.00,0.56,56.30,82.51,-1.64,rYonder
H34,Neon Yellow,/,229,239,19,62.73,0.87,0.51,90.98,-24.48,87.45,rYonder
H35,Neon Red,0,255,40,51,356.93,1.00,0.58,55.09,76.21,49.41,rYonder
H36,Neon Blue,1,35,83,176,219.57,0.67,0.41,37.26,18.61,-54.14,rYonder
H37,Neon Green,2,6,183,60,138.31,0.94,0.37,65.15,-63.57,49.84,rYonder
H38,Neon Orange,3,253,134,0,31.78,1.00,0.50,67.97,39.06,74.43,rYonder
H43,Pastel Yellow,4,231,228,90,58.72,0.75,0.63,88.55,-15.75,65.61,rYonder
H44,Pastel Red,5,249,97,96,0.39,0.93,0.68,61.25,58.03,31.36,rYonder
H45,Pastel Purple,6,142,105,205,262.20,0.50,0.61,52.13,35.93,-46.71,rYonder
H46,Pastel Blue,7,81,174,228,202.04,0.73,0.61,67.74,-11.20,-35.29,rYonder
H47,Pastel Green,8,128,223,150,133.89,0.60,0.69,81.60,-43.54,27.22,rYonder
H48,Pastel Pink,9,214,122,209,303.26,0.53,0.66,64.01,48.24,-29.77,rYonder
H60,Teddybear Brown,:,240,152,30,34.86,0.88,0.53,70.23,24.82,69.87,rYonder
H70,Light Grey,;,165,179,192,208.89,0.18,0.70,72.26,-2.17,-8.26,rYonder
H79,Apricot,=,248,118,51,20.41,0.93,0.59,64.28,45.91,57.85,rYonder
