A1,A1,!,249,240,205,47.73,0.79,0.89,94.68,-2.55,18.02,Asher
A10,A10,#,255,157,85,25.41,1.00,0.67,73.56,30.44,52.09,Asher
A11,A11,$,255,221,153,40.00,1.00,0.80,89.52,2.74,37.71,Asher
A12,A12,%,252,181,143,20.92,0.95,0.77,79.46,21.30,29.57,Asher
A13,A13,',255,187,89,35.42,1.00,0.67,80.47,15.02,57.91,Asher
A14,A14,(,255,109,64,14.14,1.00,0.63,63.81,53.15,51.70,Asher
A15,A15,),253,255,68,60.64,1.00,0.63,97.15,-21.00,82.73,Asher
A16,A16,*,254,249,174,56.25,0.98,0.84,96.77,-9.34,36.67,Asher
A17,A17,+,255,227,110,48.41,1.00,0.72,90.47,-4.14,59.64,Asher
A18,A18,-,254,207,152,32.35,0.98,0.80,85.99,9.45,33.57,Asher
A19,A19,.,253,123,114,3.88,0.97,0.72,66.72,48.76,28.46,Asher
A2,A2,/,251,251,212,60.00,0.83,0.91,97.74,-6.33,18.73,Asher
A20,A20,0,239,205,103,45.00,0.81,0.67,83.44,0.01,54.38,Asher
A21,A21,1,255,227,149,44.15,1.00,0.79,90.95,-0.73,41.57,Asher
A22,A22,2,255,243,164,52.09,1.00,0.82,95.18,-7.15,39.58,Asher
A23,A23,3,243,213,191,25.38,0.68,0.85,87.20,7.07,14.70,Asher
A24,A24,4,251,248,201,56.40,0.86,0.89,96.76,-6.43,22.99,Asher
A25,A25,5,255,214,125,41.08,1.00,0.75,87.40,3.64,48.96,Asher
A26,A26,6,255,187,39,41.11,1.00,0.58,80.15,12.99,76.20,Asher
A3,A3,7,250,252,159,61.29,0.94,0.81,97.00,-14.03,44.33,Asher
A4,A4,8,255,233,83,52.33,1.00,0.66,91.76,-8.81,72.36,Asher
A5,A5,9,244,215,56,50.74,0.90,0.59,86.07,-5.56,75.99,Asher
A6,A6,:,253,173,73,33.33,0.98,0.64,76.83,20.66,61.04,Asher
A7,A7,;,255,124,47,22.21,1.00,0.59,66.43,45.52,61.87,Asher
A8,A8,=,234,202,73,48.07,0.79,0.60,81.95,-2.42,65.68,Asher
A9,A9,?,255,153,90,22.91,1.00,0.68,72.75,32.80,48.71,Asher
B1,B1,@,230,238,50,62.55,0.85,0.56,90.87,-22.91,81.54,Asher
B10,B10,A,149,211,194,163.55,0.41,0.71,80.11,-23.33,2.08,Asher
B11,B11,B,93,114,42,77.50,0.46,0.31,44.98,-19.57,36.42,Asher
B12,B12,C,21,111,64,148.67,0.68,0.26,41.05,-37.15,19.09,Asher
B13,B13,D,217,247,148,78.18,0.86,0.77,93.19,-25.19,44.34,Asher
B14,B14,E,173,233,69,81.95,0.79,0.59,85.80,-42.16,69.59,Asher
B15,B15,F,46,81,50,126.86,0.28,0.25,31.10,-20.23,14.37,Asher
B16,B16,G,198,237,156,88.89,0.69,0.77,89.38,-26.33,35.20,Asher
B17,B17,H,155,177,58,71.09,0.51,0.46,68.55,-23.98,55.85,Asher
B18,B18,I,230,238,73,62.91,0.83,0.61,90.99,-21.97,74.59,Asher
B19,B19,J,37,184,140,162.04,0.67,0.43,66.95,-47.62,11.91,Asher
