80-16086,Black,!,50,50,52,240.00,0.02,0.20,20.86,0.48,-1.27,Exodeca1
80-16087,White,#,234,239,238,168.00,0.14,0.93,94.05,-1.83,-0.11,Exodeca1
80-16088,Cotton Candy,$,244,121,176,333.17,0.85,0.72,66.55,53.06,-6.96,Exodeca1
80-16089,Red,%,176,53,60,356.59,0.54,0.45,41.38,50.04,24.74,Exodeca1
80-16090,Magenta,',224,66,132,334.94,0.72,0.57,53.39,65.48,-1.20,Exodeca1
80-16091,Orange,(,235,123,49,23.87,0.82,0.56,63.38,38.36,57.19,Exodeca1
80-16092,Blush,),249,146,151,357.09,0.90,0.77,71.51,39.29,14.31,Exodeca1
80-16093,Cheddar,*,251,177,70,35.47,0.96,0.63,77.52,17.60,62.95,Exodeca1
80-16094,Prickly Pear,+,187,201,56,65.79,0.57,0.50,77.65,-22.55,66.44,Exodeca1
80-16095,Yellow,-,231,206,62,51.12,0.78,0.57,82.64,-6.25,70.39,Exodeca1
80-16096,Kiwi Lime,.,105,184,69,101.22,0.45,0.50,67.81,-45.04,49.57,Exodeca1
80-16097,Shamrock,/,0,143,83,154.83,1.00,0.28,52.14,-47.25,22.96,Exodeca1
80-16098,Lagoon,0,0,164,172,182.79,1.00,0.34,61.25,-32.03,-14.27,Exodeca1
80-16099,Cobalt,1,0,101,177,205.76,1.00,0.35,41.97,5.00,-47.17,Exodeca1
80-16100,Toothpaste,2,150,209,212,182.90,0.42,0.71,80.09,-18.05,-7.57,Exodeca1
80-16101,Blueberry Creme,3,133,168,227,217.66,0.63,0.71,68.42,2.99,-33.51,Exodeca1
80-16102,Purple,4,104,75,134,269.49,0.28,0.41,37.29,24.75,-28.54,Exodeca1
80-16103,Plum,5,167,93,157,308.11,0.30,0.51,50.07,39.52,-21.90,Exodeca1
80-16104,Rust,6,153,80,67,9.07,0.39,0.43,42.63,29.08,21.33,Exodeca1
80-16105,Brown,7,103,76,68,13.71,0.20,0.34,34.94,10.17,9.20,Exodeca1
80-16106,Light Brown,8,147,104,72,25.60,0.34,0.43,47.72,13.30,24.81,Exodeca1
80-16107,Tan,9,197,172,144,31.70,0.31,0.67,71.82,4.75,17.74,Exodeca1
80-16108,Sand,:,229,190,158,27.04,0.58,0.76,79.59,9.38,21.39,Exodeca1
80-16109,Light Gray,;,179,186,184,162.86,0.05,0.72,74.93,-2.80,0.16,Exodeca1
80-16110,Gray,=,144,148,151,205.71,0.03,0.58,61.08,-0.85,-2.09,Exodeca1
80-16111,Dark Gray,?,88,92,97,213.33,0.05,0.36,38.88,-0.46,-3.41,Exodeca1
