80-15179,Evergreen,!,48,85,69,154.05,0.28,0.26,33.04,-17.49,5.21,Perlervault
80-15181,Light Grey,#,179,186,184,162.86,0.05,0.72,74.93,-2.80,0.16,Perlervault
80-19001,White,$,234,239,238,168.00,0.14,0.93,94.05,-1.83,-0.11,Perlervault
80-19002,Creme,%,225,226,187,61.54,0.40,0.81,88.92,-6.76,19.00,Perlervault
80-19003,Yellow,',231,206,62,51.12,0.78,0.57,82.64,-6.25,70.39,Perlervault
80-19004,Orange,(,235,123,49,23.87,0.82,0.56,63.38,38.36,57.19,Perlervault
80-19005,Red,),176,53,60,356.59,0.54,0.45,41.38,50.04,24.74,Perlervault
80-19006,Bubblegum,*,216,114,154,336.47,0.57,0.65,60.75,44.39,-3.42,Perlervault
80-19007,Purple,+,104,75,134,269.49,0.28,0.41,37.29,24.75,-28.54,Perlervault
80-19008,Dark Blue,-,14,80,146,210.00,0.82,0.31,33.79,6.68,-41.78,Perlervault
80-19009,Light Blue,.,39,140,201,202.59,0.67,0.47,55.49,-7.03,-39.51,Perlervault
80-19011,Light Green,/,24,199,177,172.46,0.78,0.44,72.37,-45.33,-0.50,Perlervault
80-19012,Brown,0,103,76,68,13.71,0.20,0.34,34.94,10.17,9.20,Perlervault
80-19017,Grey,1,144,148,151,205.71,0.03,0.58,61.08,-0.85,-2.09,Perlervault
80-19018,Black,2,50,50,52,240.00,0.02,0.20,20.86,0.48,-1.27,Perlervault
80-19021,Light Brown,3,147,104,72,25.60,0.34,0.43,47.72,13.30,24.81,Perlervault
80-19033,Peach,4,233,191,185,7.50,0.52,0.82,80.79,14.08,8.67,Perlervault
80-19035,Tan,5,197,172,144,31.70,0.31,0.67,71.82,4.75,17.74,Perlervault
80-19010,Dark Green,6,0,123,78,158.05,1.00,0.24,45.24,-40.75,16.57,Perlervault
80-19052,Pastel Blue,7,74,156,207,203.01,0.58,0.55,61.43,-9.27,-33.52,Perlervault
80-19054,Pastel Lavender,8,147,127,191,258.75,0.33,0.62,57.21,21.13,-30.71,Perlervault
80-19056,Pastel Yellow,9,233,226,144,55.28,0.67,0.74,88.79,-9.31,40.93,Perlervault
80-19057,Cheddar,:,251,177,70,35.47,0.96,0.63,77.52,17.60,62.95,Perlervault
80-19058,Toothpaste,;,150,209,212,182.90,0.42,0.71,80.09,-18.05,-7.57,Perlervault
80-19059,Hot Coral,=,221,89,91,359.09,0.66,0.61,55.35,51.78,25.74,Perlervault
80-19060,Plum,?,167,93,157,308.11,0.30,0.51,50.07,39.52,-21.90,Perlervault
80-19061,Kiwi Lime,@,105,184,69,101.22,0.45,0.50,67.81,-45.04,49.57,Perlervault
80-19062,Turquoise,A,0,152,197,193.71,1.00,0.39,58.50,-17.37,-32.57,Perlervault
80-19063,Blush,B,249,146,151,357.09,0.90,0.77,71.51,39.29,14.31,Perlervault
80-19079,Light Pink,C,225,188,206,330.81,0.38,0.81,79.86,16.15,-4.09,Perlervault
80-19080,Green,D,77,171,100,134.68,0.38,0.49,63.03,-43.63,28.33,Perlervault
80-19083,Pink,E,212,84,150,329.06,0.60,0.58,54.60,56.89,-10.30,Perlervault
80-19088,Raspberry,F,152,56,100,332.50,0.46,0.41,38.59,44.53,-4.84,Perlervault
80-19090,Butterscotch,G,218,153,100,26.95,0.61,0.62,68.47,18.58,37.38,Perlervault
80-19091,Parrot Green,H,0,145,136,176.28,1.00,0.28,54.06,-34.38,-4.51,Perlervault
80-19092,Dark Grey,I,88,92,97,213.33,0.05,0.36,38.88,-0.46,-3.41,Perlervault
80-19093,Blueberry Creme,J,133,168,227,217.66,0.63,0.71,68.42,2.99,-33.51,Perlervault
80-19096,Cranapple,K,132,57,71,348.80,0.40,0.37,34.57,33.65,7.37,Perlervault
80-19097,Prickly Pear,L,187,201,56,65.79,0.57,0.50,77.65,-22.55,66.44,Perlervault
80-19098,Sand,M,229,190,158,27.04,0.58,0.76,79.59,9.38,21.39,Perlervault
80-14110,Toasted Marshmallow,N,222,218,206,45.00,0.20,0.84,87.06,-0.71,6.37,Perlervault
