Y002,white,!,255,255,255,0.00,0.00,1.00,100.00,0.01,-0.01,KintaroOe
Y003,shell,#,224,212,216,340.00,0.16,0.85,85.95,4.83,-0.50,KintaroOe
Y004,ash,$,221,219,206,52.00,0.18,0.84,87.24,-1.58,6.62,KintaroOe
Y005,dove,%,206,200,203,330.00,0.06,0.80,81.15,2.62,-0.76,KintaroOe
Y006,fog,',214,212,215,280.00,0.04,0.84,85.14,1.23,-1.25,KintaroOe
Y007,cameo,(,181,180,185,252.00,0.03,0.72,73.53,1.30,-2.42,KintaroOe
Y008,gray,),140,138,141,280.00,0.01,0.55,57.73,1.33,-1.34,KintaroOe
Y009,smoke,*,113,110,115,276.00,0.02,0.44,46.84,2.18,-2.37,KintaroOe
Y010,iron,+,76,76,76,0.00,0.00,0.30,32.32,0.00,-0.00,KintaroOe
Y011,black,-,0,0,0,0.00,0.00,0.00,-16.00,0.00,0.00,KintaroOe
Y012,skin,.,239,216,198,26.34,0.56,0.86,87.75,5.09,11.75,KintaroOe
Y013,shrimp,/,239,192,150,28.31,0.74,0.76,80.88,11.22,27.54,KintaroOe
Y014,muscle,0,224,185,152,27.50,0.54,0.74,77.76,9.34,22.01,KintaroOe
Y015,cedar,1,189,156,103,36.98,0.39,0.57,66.19,5.20,32.28,KintaroOe
Y016,linen,2,210,193,150,43.00,0.40,0.71,78.49,-0.56,23.86,KintaroOe
Y017,corduroy,3,197,162,124,31.23,0.39,0.63,68.87,7.57,24.61,KintaroOe
Y018,bamboo,4,218,180,118,37.20,0.57,0.66,75.36,5.76,36.68,KintaroOe
Y019,caramel,5,196,145,62,37.16,0.53,0.51,63.62,10.92,50.09,KintaroOe
Y020,annatto,6,203,147,96,28.60,0.51,0.59,65.29,15.28,35.16,KintaroOe
Y021,soil,7,215,153,106,25.87,0.58,0.63,68.22,17.88,33.82,KintaroOe
Y022,brich,8,155,107,69,26.51,0.38,0.44,49.39,14.79,28.83,KintaroOe
Y023,tan,9,141,92,62,22.78,0.39,0.40,43.75,16.70,25.38,KintaroOe
Y024,oak,:,134,106,85,25.71,0.22,0.43,47.02,8.00,16.03,KintaroOe
Y025,chocolate,;,93,60,55,7.89,0.26,0.29,28.99,13.84,9.04,KintaroOe
Y026,shy,=,248,149,107,17.87,0.91,0.70,71.22,33.27,37.90,KintaroOe
Y027,coralline,?,213,81,77,1.76,0.62,0.57,52.47,51.69,29.92,KintaroOe
