"S01","White",233,231,230
"S02","Burning Sand",254,144,143
"S03","Tangerine",254,164,2
"S04","Orange",253,97,73
"S05","Tall Poppy",221,52,68
"S06","Raspberry pink",235,102,190
"S07","Gray 2",142,143,147
"S08","Emerald",82,204,106
"S09","Dark Green",42,93,98
"S10","Baby Blue",97,168,223
"S11","Dark Blue",40,68,146
"S12","Pastel Lavender",137,98,173
"S13","Black",31,31,33
"S14","Sandstorm",239,221,6
"S15","Redwood",124,69,69
"S16","Brown",120,88,78
"S17","light brown",89,71,67
"S18","Sand",206,155,134
"S19","Bubblegum",237,174,172
"S20","Green",84,145,96
"S21","Pastel Green",132,197,81
"S22","Purple",85,72,137
"S23","Royal Purple",125,102,173
"S24","True Blue",57,109,188
"S25","Hot Pink",254,91,186
"S26","Magenta",254,66,137
"S27","Yellow",240,206,1
"S28","Lily Pink",223,159,205
"S29","Pastel Yellow",240,226,79
"S30","Shadow Green",161,198,206
"S31","Sea Mist",171,218,202
"S32","Beeswax",248,197,131
"S33","Maverick",192,174,219
"S35","Mona Lisa",249,188,193
"S36","Old Pink",200,103,130
"S37","Blue Green",132,199,198
"S38","burgundy",161,48,83
"S39","Yellow Orange",255,131,75
"S40","Carnation Pink",253,145,214
"S41","Copper",157,91,46
"S42","Silver",103,107,115
"S43","Gray 3",102,103,106
"S44","Sky Blue",164,200,232
"S45","Medium Turquoise",63,152,158
"S46","Bright Green",168,228,42
"S47","Marigold",156,116,60
"S48","Corn",246,191,5
"S49","Mulberry Wood",120,49,90
"S50","Mandys Pink",253,164,126
"S51","Spring Sun",243,217,182
"S52","Picasso",239,229,109
"S53","Turquoise",101,147,223
"S54","Light Blue",26,117,208
"S55","Pistachio",160,213,137
"S56","Outrageous Orange",254,127,80
"S57","Buccaneer",152,78,67
"S58","Paprika",172,44,68
"S60","Lavender",166,117,191
"S61","Key Lemon Pie",187,197,40
"S62","Green Tea",56,112,97
"S63","Metallic Gold",105,96,70
"S64","Black Rock",54,61,92
"S65","Canary",247,248,57
"S66","Blaze Orange",253,81,67
"S67","Vanilla",226,193,178
"S68","Tan",175,150,102
"S69","Mine Shaft",67,72,78
"S70","Dark Algae",146,183,1
"S71","Jade Green",49,131,50
"S72","Light Sea Blue",119,191,209
"S73","Steel blue",91,159,199
"S74","azure",64,144,192
"S75","dark steel blue",56,121,166
"S76","sea blue",59,135,171
"S77","Ghost white",211,211,208
"S78","Ash Gray",189,189,187
"S79","Gray 1",163,167,169
"S80","Dark Olive",124,137,52
"S81","Deer",184,138,98
"S82","Clay",145,106,77
"S83","Sienna",174,103,53
"S84","Deep Chestnut",165,87,97
"S85","Red Wine",140,65,74
"S86","Goldenrod",233,181,4
"S87","Coral Red",250,97,106
"S88","Dark Pink",217,59,128
"S89","Gray 4",88,92,99
"S90","Pastel Orange",251,183,73
"S91","Brunswick Green",52,64,66
"SG1","Glow Yellow",198,192,180
"SG2","Glow Pink",223,171,188
"SG3","Glow Blue",111,173,193
"SL1","Glitter Blue",54,135,178
"SL2","Glitter Green",17,124,82
"SL3","Glitter Red",194,41,51
"SL4","Glitter Yellow",205,189,0
"SN1","Neon Orange",255,116,5
"SN2","Neon Green",1,198,62
"SN3","Neon Yellow",242,243,60
"SN4","Neon Rose",255,71,122
"SP1","Pearlescent Green",147,202,135
"SP2","Pearlescent Tangerine",254,127,84
"SP3","Pearlescent Orange",240,161,73
"SP4","Pearlescent Pink",220,158,169
"SP5","Pearlescent Red",214,60,83
"SP6","Pearlescent Blue",44,78,151
"SP7","Pearlescent Purple",100,66,126
"SP8","Pearlescent White",224,219,202
