C01,White,Υ,234,238,243,Perlervault
C02,Black,Φ,41,42,43,Perlervault
C03,Tangerine,Χ,255,166,48,Perlervault
C04,Yellow Orange,Ψ,230,135,57,Perlervault
C05,Tall Poppy,Ω,203,53,49,Perlervault
C06,Red,α,182,25,39,Perlervault
C07,Carnation Pink,β,225,130,176,Perlervault
C08,Hot Pink,γ,220,81,154,Perlervault
C09,Magenta,δ,218,67,131,Perlervault
C10,Picasso,ε,234,222,127,Perlervault
C11,Yellow,ζ,234,193,37,Perlervault
C12,Pistachio,η,151,207,135,Perlervault
C13,Pastel Green,θ,139,178,58,Perlervault
C14,Green,ι,0,144,83,Perlervault
C15,Green Tea,κ,0,118,95,Perlervault
C16,Bright Carrot,λ,249,111,64,Perlervault
C17,Orange,μ,235,96,39,Perlervault
C18,Sky Blue,ν,167,205,222,Perlervault
C19,Baby Blue,ξ,46,171,216,Perlervault
C20,Light Blue,ο,0,132,206,Perlervault
C21,Dark Blue,π,0,79,164,Perlervault
C22,Bubble Gun,ρ,242,191,184,Perlervault
C23,Sand,ς,220,163,132,Perlervault
C24,Beeswax,σ,238,211,158,Perlervault
C25,Lavender,τ,138,126,194,Perlervault
C26,Pastel Lavender,υ,145,101,178,Perlervault
C27,Purple,φ,72,51,126,Perlervault
C28,Marigold,χ,178,121,56,Perlervault
C29,Buccaneer,ψ,179,85,64,Perlervault
C30,Redwood,ω,154,69,65,Perlervault
C31,Light Brown,ϑ,137,93,73,Perlervault
C32,Brown,ϒ,101,70,61,Perlervault
C33,Gray,ϖ,149,150,152,Perlervault
C34,Dark Gray,–,112,117,123,Perlervault
C35,Silver,—,103,107,115,LThanda
C36,Old Pink,‘,206,109,131,Perlervault
C37,True Blue,’,0,120,191,Perlervault
C38,Turquoise,‚,85,164,217,Perlervault
C39,Shadow Green,“,158,201,205,Perlervault
C40,Key Lomen Pie,”,205,192,63,Perlervault
C41,Pastel Yellow,„,225,211,103,Perlervault
C42,Sandstorm,†,225,200,53,Perlervault
C43,Paprika,‡,177,24,54,Perlervault
C44,Burning Sand,•,238,146,124,Perlervault
C46,Canary,…,226,230,93,Perlervault
C47,Vanilla,‰,233,193,166,Perlervault
C48,Corn,‱,236,192,61,Perlervault
C49,Raspberry Pink,※,239,103,178,Perlervault
C50,Maverick,‼,192,183,215,Perlervault
C51,Spring Sun,‽,223,218,189,Perlervault
C52,Butterfly Bush,‾,79,57,137,Perlervault
C53,Bright Green,⁁,142,195,36,Perlervault
C54,Medium Turquoise,⁂,0,165,161,Perlervault
C56,Oslo Gray,⁇,130,135,139,Perlervault
C58,Black Rock,⁈,54,56,77,Perlervault
C60,Sea Mist,⁉,178,215,206,Perlervault
C69,Mine Shaft,⁑,56,62,68,Perlervault
C70,Brunswick Green,€,21,56,56,Perlervault
C71,Goldenrod,™,232,174,0,Perlervault
C72,Pastel Orange,∀,217,179,94,Perlervault
C73,Sienna,❝,187,104,51,Perlervault
