H01,White,⒋,229,236,241,Jeppewl
H02,Cream,⒌,228,228,197,Jeppewl
H03,Yellow,⒍,233,199,4,Jeppewl
H04,Orange,⒎,209,72,3,Jeppewl
H05,Red,⒏,180,6,14,Jeppewl
H06,Pink,⒐,234,138,165,Jeppewl
H07,Purple,⒑,113,34,151,Jeppewl
H08,Blue,⒒,2,57,163,Jeppewl
H09,Light blue,⒓,2,91,195,Jeppewl
H10,Green,⒔,2,118,67,Jeppewl
H11,Light green,⒕,25,205,167,Jeppewl
H12,Brown,⒖,62,39,26,Jeppewl
H13,Transparent Red,⒗,192,36,53,LThanda
H16,Transparent Green,⒘,55,184,118,LThanda
H17,Grey,⒙,131,143,152,Jeppewl
H18,Black,⒚,20,19,21,Jeppewl
H19,Clear,⒛,216,210,206,LThanda
H20,Reddish brown,⓪,141,42,15,Jeppewl
H21,Light brown,⓫,190,108,33,Jeppewl
H22,Dark red,⓬,145,2,10,Jeppewl
H24,Translucent Purple,⓭,104,62,154,LThanda
H25,Translucent Brown,⓮,135,89,61,LThanda
H26,Flesh,⓯,232,164,152,Jeppewl
H27,Beige,⓰,220,177,142,Jeppewl
H28,Dark green,⓱,30,44,28,Jeppewl
H29,Claret,⓲,191,1,66,Jeppewl
H30,Burgundy,⓳,78,12,27,Jeppewl
H31,Turquoise,⓴,72,154,185,Jeppewl
H32,Neon Pink (Fucsia),❶,255,32,141,LThanda
H33,Cerise,❷,255,57,86,LThanda
H34,Neon Yellow,❸,229,239,19,LThanda
H35,Neon Red,❹,255,40,51,LThanda
H36,Neon Blue,❺,35,83,176,LThanda
H37,Neon Green,❻,6,183,60,LThanda
H38,Neon Orange,❼,253,134,0,LThanda
H39,Fluorescent Yellow,❽,241,242,28,LThanda
H40,Fluorescent Orange,❾,254,99,11,LThanda
H41,Fluorescent Blue,❿,38,89,178,LThanda
H42,Fluorescent Green,֍,12,189,81,LThanda
H43,Pastel Yellow,֎,231,228,90,Jeppewl
H44,Pastel red,ॐ,249,97,96,Jeppewl
H45,Pastel purple,☤,142,105,205,Jeppewl
H46,Pastel blue,☥,81,174,228,Jeppewl
H47,Pastel green,☦,128,223,150,Jeppewl
H48,Pastel pink,☧,214,122,209,Jeppewl
H49,Azure,☨,15,172,209,Jeppewl
H60,Teddybear brown,☩,240,152,30,Jeppewl
H70,Light grey,☪,165,179,192,Jeppewl
H71,Dark grey,☫,68,80,89,Jeppewl
H75,Tan,☬,183,140,109,Jeppewl
H76,Nougat,☭,138,89,55,Jeppewl
H77,Cloudy white,☮,206,209,200,Jeppewl
H78,Light flesh,☯,247,193,170,Jeppewl
H79,Aprikot,☸,248,118,51,Jeppewl
H82,Plum,✝,145,23,90,Jeppewl
H83,Petrol blue,✞,3,122,159,Jeppewl
H84,Olive green,✟,104,120,54,Jeppewl
